
|        :distrito |                   :concelho |                                                                                                                                      :school-href |                                                                                                                                                                        :concelho-href |                                 :title-clean | :nec-raw |                                                                                                                  :address-clean |
|            Porto |                       Porto |                                       https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/Pincor789.aspx |                            https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Porto&Concelho=Porto |                                       Pincor |       36 |                                                                                           Praça da República, 64 4050-496 PORTO |
|           Lisboa |                      Lisboa |                                    https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/Automovel191.aspx |                          https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Lisboa&Concelho=Lisboa |                                    Campolide |       38 |                                                                              Rua D. Carlos de Mascarenhas, 76-A 1070-083 LISBOA |
|         Santarém |                Torres Novas |                                   https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/Torrejana1016.aspx |                https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Santarem&Concelho=Torres%20Novas |                                    Torrejana |       39 |                                                                  Largo Movimento das Forças Armadas, Nº 3 2350-754 TORRES NOVAS |
|           Lisboa |                      Lisboa |                          https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/AutomovelLisbonense201.aspx |                          https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Lisboa&Concelho=Lisboa |                         Automóvel Lisbonense |       40 |                                                                       Alameda D. Afonso Henriques, 27 A r/c Dtº 1900-180 LISBOA |
|           Lisboa |                      Lisboa |                          https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/AutomovelLisbonense201.aspx |                          https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Lisboa&Concelho=Lisboa |                         Automóvel Lisbonense |       40 |                                                                       Alameda D. Afonso Henriques, 27 A r/c Dtº 1900-180 LISBOA |
|           Lisboa |                      Lisboa |                                   https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/Telheiras1001.aspx |                          https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Lisboa&Concelho=Lisboa |                                    Telheiras |       41 |                                                                          Rua Prof. Fernando da Fonseca, Nº 28-B 1600-620 LISBOA |
|            Porto |                       Porto |                                   https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/Carvalhido292.aspx |                            https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Porto&Concelho=Porto |                                   Carvalhido |       42 |                                                                                        Rua dos Castelos, 23 – 1º 4250-117 PORTO |
|           Lisboa |                      Lisboa |                                https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/Internacional567.aspx |                          https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Lisboa&Concelho=Lisboa |                                     Saldanha |       44 |                                                        Av.ª Fontes Pereira de Melo, n.º 31 – Galeria Esquerda ; 1050-117 Lisboa |
|          Setúbal |                     Setúbal |                            https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/GoncalveseDelgado493.aspx |                   https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Setubal&Concelho=Set%C3%BAbal |                          Gonçalves e Delgado |       45 |                                                                                         Avª 22 de Dezembro, 52 2900-667 SETÙBAL |
|          Setúbal |                     Setúbal |                            https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/GoncalveseDelgado493.aspx |                   https://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/LocalizacaoEscolasConducao/Paginas/LocalizacaoEscolasConducao.aspx?Distrito=Setubal&Concelho=Set%C3%BAbal |                          Gonçalves e Delgado |       45 |                                                                                         Avª 22 de Dezembro, 52 2900-667 SETÙBAL |
